date,exercise,sets,reps,weight,rpe,comment
20171221,fs,5,5,135,NA,
20171224,fs,3,5,135,NA,
20171224,fs,2,5,145,NA,
20171226,fs,2,5,135,NA,
20171226,fs,3,5,145,NA,
20171228,fs,5,5,145,NA,
20171231,fs,3,5,145,NA,
20171231,fs,2,5,155,NA,
20180102,fs,2,5,145,NA,
20180102,fs,3,5,155,NA,
20180104,fs,5,5,155,NA,
20180107,fs,3,5,155,NA,
20180107,fs,2,5,165,NA,
20180109,fs,2,5,155,NA,
20180109,fs,3,5,165,NA,
20180111,fs,5,5,165,NA,
20180114,fs,3,5,165,NA,
20180114,fs,2,5,175,NA,
20180116,fs,2,5,165,NA,
20180116,fs,3,5,175,NA,
20180118,fs,5,5,175,NA,
20180121,fs,3,5,175,NA,
20180121,fs,2,5,185,NA,
20180123,fs,2,5,175,NA,
20180123,fs,3,5,185,NA,
20180125,fs,5,5,185,NA,
20180128,fs,3,5,185,NA,
20180128,fs,2,5,195,NA,
20180130,fs,2,5,185,NA,
20180130,fs,3,5,195,NA,
20180201,fs,5,5,195,NA,
20180204,fs,3,5,195,NA,
20180204,fs,2,5,205,NA,
20180206,fs,2,5,195,NA,
20180206,fs,3,5,205,NA,
20180208,fs,5,5,205,NA,
20180211,fs,3,5,205,NA,
20180211,fs,2,5,215,NA,
20180213,fs,2,5,205,NA,
20180213,fs,3,5,215,NA,
20180215,fs,5,5,215,NA,
20180218,fs,3,5,215,NA,
20180218,fs,2,5,225,NA,
20180220,fs,2,5,215,NA,
20180220,fs,3,5,225,NA,
20180222,fs,5,5,225,NA,
20180225,bs,1,2,245,8.5,
20180225,bs,7,5,195,7,
20180225,fs,3,5,185,7,
20180225,dl,1,3,335,8,
20180227,fs,7,5,185,7,
20180227,dl,5,5,275,8,
20180301,bs,7,5,195,7,
20180304,fs,1,2,255,9.5,
20180304,fs,7,5,205,6.5,
20180305,dl,1,3,375,9.5,
20180306,bs,7,5,195,6,
20180306,dl,5,5,275,8,
20180308,fs,7,5,205,6.5,
20180308,dbr,5,10,85,8,
20180311,bs,1,3,185,,
20180311,bs,1,3,205,,
20180311,bs,1,3,225,,
20180311,bs,1,2,245,,
20180311,bs,1,2,265,,
20180311,bs,1,2,275,9,
20180311,bs,5,5,215,7,
20180311,dl,5,5,295,8,
20180313,fs,7,5,205,6.5,
20180313,pu,1,20,0,7,
20180313,pu,8,10,0,8,
20180315,bs,7,5,215,8,
20180315,dl,5,5,275,8,
20180318,fs,7,5,205,7,
20180320,bs,7,5,215,7,
20180320,dbr,5,10,90,9,
20180320,pu,5,10,0,7,
20180322,fs,7,5,205,7,
20180322,dbr,5,10,90,9,
20180322,pu,5,10,0,6,
20180325,fs,1,2,185,5,
20180325,fs,1,2,205,5,
20180325,fs,1,2,225,5,
20180325,fs,1,2,245,7,
20180325,fs,1,2,265,8.5,
20180325,fs,1,2,275,9.5,
20180325,fs,1,1,275,9.5,
20180325,fs,5,5,215,8,
20180325,dl,5,4,285,8,
20180327,bs,7,5,215,8,
20180329,fs,7,5,215,7,
20180329,dbr,5,10,80,8,
